asv,sample,counts,presence,local,type,species,taxa
ASV_60,FORAGERSBBG2,0,0,BG,FORAGER,SB,Enterobacterales
ASV_12,POLLENSBBP2,0,0,BP,POLLEN,SB,Pectinatus
ASV_93,HONEYSBSC2,18,0,SC,HONEY,SB,Lactobacillus
ASV_55,GUARDSDBG1,1357,1,BG,GUARD,SD,Bombilactobacillus
ASV_96,NURSESBBP3,0,0,BP,NURSE,SB,Micrococcaceae
ASV_62,FOODSDBG1,0,0,BG,FOOD,SD,Acinetobacter
ASV_12,HONEYSBBG1,0,0,BG,HONEY,SB,Pectinatus
ASV_12,FOODSDBG1,0,0,BG,FOOD,SD,Pectinatus
ASV_99,POLLENSDBP1,29965,0,BP,POLLEN,SD,Lactobacillaceae
ASV_12,LARVAESBSC2,0,0,SC,LARVAE,SB,Pectinatus
ASV_14,FOODSDSC2,0,0,SC,FOOD,SD,Raoultella
ASV_93,HONEYSDSC1,362,0,SC,HONEY,SD,Lactobacillus
ASV_30,GUARDSBSC1,0,0,SC,GUARD,SB,Klebsiella
ASV_62,HONEYSBBG1,1491,0,BG,HONEY,SB,Acinetobacter
ASV_543,NURSESDBP1,0,0,BP,NURSE,SD,Taibaiella
